Cluster ID,,title,org,id
4,925,Syndred - A Syntax-Driven Editor for Lexical Resources 2018,"Universität zu Köln, Deutschland",../dhd_2018/TEI/MONDACA_Francisco_Syndred___A_Syntax_Driven_Editor_for_Lexic.xml__3
8,926,"Analysing Direct Speech in German Novels 
                     2018","Universität Würzburg, Deutschland",../dhd_2018/TEI/KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels.xml__0
8,927,"Analysing Direct Speech in German Novels 
                     2018","Universität Würzburg, Deutschland",../dhd_2018/TEI/KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels.xml__1
8,928,"Analysing Direct Speech in German Novels 
                     2018","Universität Würzburg, Deutschland",../dhd_2018/TEI/KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels.xml__2
8,929,"Analysing Direct Speech in German Novels 
                     2018","Universität Würzburg, Deutschland",../dhd_2018/TEI/KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels.xml__3
8,930,"Analysing Direct Speech in German Novels 
                     2018","Universität Würzburg, Deutschland",../dhd_2018/TEI/KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels.xml__4
4,931,Sechs Wege der FRBRisierung von Textverknüpfungen 2018,"Universität zu Köln, Deutschland",../dhd_2018/TEI/HELLING_Patrick_Sechs_Wege_der_FRBRisierung_von_Textverkn_pf.xml__0
4,932,Sechs Wege der FRBRisierung von Textverknüpfungen 2018,"Universität zu Köln, Deutschland",../dhd_2018/TEI/HELLING_Patrick_Sechs_Wege_der_FRBRisierung_von_Textverkn_pf.xml__1
75,933,"Liebe und Tod in der Deutschen Nationalbibliothek 
                     Der DNB-Katalog als Forschungsobjekt der digitalen Literaturwissenschaft 2018","Higher School of Economics, Moskau",../dhd_2018/TEI/FISCHER_Frank__Liebe_und_Tod_in_der_Deutschen_Nationalbiblio.xml__0
77,934,"Liebe und Tod in der Deutschen Nationalbibliothek 
                     Der DNB-Katalog als Forschungsobjekt der digitalen Literaturwissenschaft 2018","Humboldt-Universität, Berlin",../dhd_2018/TEI/FISCHER_Frank__Liebe_und_Tod_in_der_Deutschen_Nationalbiblio.xml__1
389,935,"Digitale Vernunft zwischen Text und Diagramm 
                     Digital Mapmaking als Hilfsmittel zur Erklärung historischer Ereignisse 2018",Leibniz-Institut für Ost- und Südosteuropaforschung (IOS),../dhd_2018/TEI/FRANK_Ingo_Digitale_Vernunft_zwischen_Text_und_Diagramm.xml__0
390,936,Ambraser Heldenbuch: Transkription und wissenschaftliches Datenset 2018,"Universität Innsbruck, Österreich",../dhd_2018/TEI/TRATTER_Aaron_Rudolf_Ambraser_Heldenbuch__Transkription_und_.xml__0
391,937,Ambraser Heldenbuch: Transkription und wissenschaftliches Datenset 2018,"Universität Innsbruck, Österreich",../dhd_2018/TEI/TRATTER_Aaron_Rudolf_Ambraser_Heldenbuch__Transkription_und_.xml__1
4,938,"Nutzerunterstützung und neueste Entwicklungen in Forschungsdatenreposi-
                    torien für audiovisuelle (Sprach-)Daten 2018","Universität zu Köln, Deutschland",../dhd_2018/TEI/BLUMTRITT_Jonathan_Nutzerunterst_tzung_und_neueste_Entwicklu.xml__0
4,939,"Nutzerunterstützung und neueste Entwicklungen in Forschungsdatenreposi-
                    torien für audiovisuelle (Sprach-)Daten 2018","Universität zu Köln, Deutschland",../dhd_2018/TEI/BLUMTRITT_Jonathan_Nutzerunterst_tzung_und_neueste_Entwicklu.xml__1
